,ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
11671,AYEB,small_airport,Embessa Airport,131.0,OC,PG,PG-NPP,Embessa,AYEB,EMS,EMB,"-9.447, 148.7628"
11672,AYED,small_airport,Edwaki Airport,190.0,OC,PG,PG-SAN,Yellow River Mission,AYED,XYR,EWK,"-3.883986, 141.792234"
11676,AYEL,small_airport,Eliptamin Airport,4825.0,OC,PG,PG-SAN,Eliptamin,AYEL,EPT,ELP,"-5.0412, 141.6779"
11678,AYEN,small_airport,Engati Airstrip,3715.0,OC,PG,PG-MPL,Engati,AYEN,EGA,EGT,"-6.9179, 146.1053"
11679,AYEO,small_airport,Emo River Airstrip,2240.0,OC,PG,PG-NPP,Emo Mission,AYEO,EMO,EMO,"-9.1234, 148.0415"
11680,AYER,small_airport,Erume Airport,6690.0,OC,PG,PG-CPM,Erume,AYER,ERU,EME,"-8.2538, 146.9747"
11681,AYES,small_airport,Meselia Airport,180.0,OC,PG,PG-WBK,Demgulu,AYES,MFZ,,"-6.1364, 149.1183"
11684,AYFE,small_airport,Feramin Airport,4655.0,OC,PG,PG-SAN,Feramin,AYFE,FRQ,FMN,"-5.208, 141.6988"
11687,AYFR,small_airport,Frieda River Airport,217.0,OC,PG,PG-ESW,Frieda River,AYFR,FAQ,FRR,"-4.610468, 141.960138"
11689,AYFU,small_airport,Fuma Airport,466.0,OC,PG,PG-WPD,Fuma,AYFU,FUM,FUMA,"-6.3933, 142.4408"
11691,AYGA,medium_airport,Goroka Airport,5282.0,OC,PG,PG-EHG,Goronka,AYGA,GKA,,"-6.081689834590001, 145.391998291"
11694,AYGF,small_airport,Guari Airport,6450.0,OC,PG,PG-CPM,Guari,AYGF,GUG,GAI,"-8.1286, 146.8722"
11695,AYGG,small_airport,Garasa Airport,2539.0,OC,PG,PG-MPL,Au,AYGG,GRL,GSA,"-7.980713, 147.213461"
11698,AYGN,medium_airport,Gurney Airport,88.0,OC,PG,PG-MBA,Gurney,AYGN,GUR,,"-10.3114995956, 150.333999634"
11700,AYGP,small_airport,Gusap Airport,1504.0,OC,PG,PG-GPK,Gusap,AYGP,GAP,GSP,"-6.053196, 145.959047"
11702,AYGR,medium_airport,Girua Airport,311.0,OC,PG,PG-NPP,Popondetta,AYGR,PNP,,"-8.80453968048, 148.309005737"
11703,AYGS,small_airport,Gasuke Airport,157.0,OC,PG,PG-WPD,Gasuke,AYGS,GBC,GSK,"-6.1028, 141.7393"
11707,AYHB,small_airport,Habi Airport,993.0,OC,PG,PG-WPD,Habi,AYHB,HBD,HABI,"-6.32, 142.4893"
11708,AYHE,small_airport,Heiweni Airport,3480.0,OC,PG,PG-MPL,Heiweni,AYHE,HNI,HWI,"-7.4223, 146.4276"
11709,AYHH,small_airport,Honinabi Airport,452.0,OC,PG,PG-WPD,Honinabi,AYHH,HNN,HBI,"-16.2457, 142.1771"
11711,AYHK,medium_airport,Kimbe Airport,66.0,OC,PG,PG-WBK,Hoskins,AYHK,HKN,,"-5.462170124053955, 150.40499877929688"
11714,AYHO,small_airport,Haivaro Airport,180.0,OC,PG,PG-GPK,Haivaro,AYHO,HIT,HWO,"-6.9406, 143.059"
11721,AYII,small_airport,Imane Airport,3860.0,OC,PG,PG-MPL,Imane,AYII,IMN,IMN,"-6.7524, 146.1072"
